,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20210701,22.81,23.5,22.52,23.2,22.62,0.58,2.5641,664833.3,1530548.798
1,000001.SZ,20210630,22.36,22.93,22.35,22.62,22.34,0.28,1.2534,403435.46,913285.187
2,000001.SZ,20210629,22.58,22.79,22.0,22.34,22.78,-0.44,-1.9315,1049749.39,2341926.371
3,000001.SZ,20210628,23.36,23.39,22.48,22.78,23.36,-0.58,-2.4829,626257.37,1425702.202
4,000001.SZ,20210625,23.08,23.6,23.06,23.36,23.08,0.28,1.2132,559972.95,1310287.389
5,000001.SZ,20210624,23.03,23.12,22.68,23.08,23.14,-0.06,-0.2593,390283.49,894502.108
6,000001.SZ,20210623,22.85,23.41,22.72,23.14,22.97,0.17,0.7401,447907.78,1035835.695
7,000001.SZ,20210622,22.38,23.09,22.25,22.97,22.16,0.81,3.6552,757751.41,1720058.046
8,000001.SZ,20210621,22.6,22.67,22.01,22.16,22.65,-0.49,-2.1634,718272.74,1600119.859
9,000001.SZ,20210618,23.13,23.28,22.39,22.65,23.1,-0.45,-1.9481,694099.3,1574437.729
10,000001.SZ,20210617,23.02,23.69,23.02,23.1,23.26,-0.16,-0.6879,453282.09,1059121.804
11,000001.SZ,20210616,23.22,23.4,23.01,23.26,23.22,0.04,0.1723,378208.04,878470.834
12,000001.SZ,20210615,23.35,23.43,22.8,23.22,23.37,-0.15,-0.6418,660622.59,1524503.477
13,000001.SZ,20210611,24.31,24.35,23.12,23.37,24.2,-0.83,-3.4298,834665.04,1965393.115
14,000001.SZ,20210610,24.66,25.06,24.15,24.2,24.65,-0.45,-1.8256,530215.16,1294972.566
15,000001.SZ,20210609,24.43,24.88,24.18,24.65,24.53,0.12,0.4892,453831.5,1116771.375
16,000001.SZ,20210608,24.15,24.57,23.95,24.53,24.3,0.23,0.9465,570077.92,1384120.301
17,000001.SZ,20210607,24.48,24.48,23.93,24.3,24.54,-0.24,-0.978,447914.1,1081738.832
18,000001.SZ,20210604,23.99,24.96,23.8,24.54,23.77,0.77,3.2394,756739.42,1851425.837
19,000001.SZ,20210603,23.72,24.14,23.68,23.77,23.89,-0.12,-0.5023,400900.85,958876.472
