序号,时间,开盘价,收盘价,当日最高,当日最低,当天成交量,当天成交额,振幅,涨跌幅,涨跌额,换手率
1,2011-01-04,2825.33,2852.65,2855.40,2810.11,122603786,147099287552.00,1.61,1.59,44.57,0.32
2,2011-01-05,2833.12,2838.59,2850.49,2824.30,115080018,136605556736.00,0.92,-0.49,-14.06,0.30
3,2011-01-06,2838.44,2824.20,2853.88,2816.95,93262308,114393079808.00,1.30,-0.51,-14.39,0.24
4,2011-01-07,2820.67,2838.80,2868.00,2807.87,130892453,139308482560.00,2.13,0.52,14.60,0.34
5,2011-01-10,2832.62,2791.81,2847.36,2786.86,102350530,112231858176.00,2.13,-1.66,-46.99,0.26
6,2011-01-11,2783.48,2804.05,2810.76,2770.34,91000762,95790473216.00,1.45,0.44,12.24,0.23
7,2011-01-12,2811.78,2821.30,2828.47,2788.13,88306879,89286860800.00,1.44,0.62,17.25,0.23
8,2011-01-13,2830.53,2827.71,2837.53,2810.87,82491775,88898904064.00,0.94,0.23,6.41,0.21
9,2011-01-14,2817.05,2791.34,2817.05,2780.44,84545719,91633254400.00,1.29,-1.29,-36.37,0.22
10,2011-01-17,2772.45,2706.66,2780.94,2698.78,108833417,106820714496.00,2.94,-3.03,-84.68,0.28
11,2011-01-18,2696.15,2708.98,2715.41,2683.37,69954664,68839817216.00,1.18,0.09,2.32,0.18
12,2011-01-19,2707.82,2758.10,2759.60,2700.81,88787874,90985005056.00,2.17,1.81,49.12,0.23
13,2011-01-20,2752.80,2677.65,2752.80,2676.13,96939735,96876167168.00,2.78,-2.92,-80.45,0.25
14,2011-01-21,2668.68,2715.29,2746.18,2667.29,110451978,104579031040.00,2.95,1.41,37.64,0.28
15,2011-01-24,2716.52,2695.72,2736.11,2690.65,97761295,97331437568.00,1.67,-0.72,-19.57,0.25
16,2011-01-25,2691.69,2677.43,2701.04,2661.45,79592282,76698460160.00,1.47,-0.68,-18.29,0.20
17,2011-01-26,2677.17,2708.81,2710.74,2676.77,67051842,68095148032.00,1.27,1.17,31.38,0.17
18,2011-01-27,2690.82,2749.15,2753.00,2677.21,117284234,116641243136.00,2.80,1.49,40.34,0.30
19,2011-01-28,2741.31,2752.75,2759.44,2733.29,91330388,99291856896.00,0.95,0.13,3.60,0.23
20,2011-01-31,2751.53,2790.69,2790.92,2748.54,98398465,107657560064.00,1.54,1.38,37.94,0.25
21,2011-02-01,2795.07,2798.96,2805.05,2785.30,78654505,90772496384.00,0.71,0.30,8.27,0.20
22,2011-02-09,2778.70,2774.06,2804.21,2764.87,95661046,105899646976.00,1.41,-0.89,-24.90,0.25
23,2011-02-10,2769.65,2818.16,2819.06,2760.18,106859974,118279651328.00,2.12,1.59,44.10,0.27
24,2011-02-11,2815.12,2827.33,2835.41,2807.60,116818537,128777969664.00,0.99,0.33,9.17,0.30
25,2011-02-14,2828.57,2899.13,2906.26,2828.57,171236743,182199173120.00,2.75,2.54,71.80,0.44
26,2011-02-15,2900.43,2899.24,2934.47,2892.64,168122251,189514072064.00,1.44,0.00,0.11,0.43
27,2011-02-16,2893.68,2923.90,2924.19,2882.55,139229772,161636286464.00,1.44,0.85,24.66,0.36
28,2011-02-17,2929.25,2926.96,2939.28,2905.03,141037735,170609098752.00,1.17,0.10,3.06,0.36
29,2011-02-18,2924.23,2899.79,2924.23,2890.26,124413192,143486877696.00,1.16,-0.93,-27.17,0.32
30,2011-02-21,2886.54,2932.25,2932.82,2884.19,130003748,147746553856.00,1.68,1.12,32.46,0.33
31,2011-02-22,2941.32,2855.52,2944.41,2851.62,171422414,194421161984.00,3.16,-2.62,-76.73,0.44
32,2011-02-23,2844.99,2862.63,2868.48,2839.20,120439995,138999595008.00,1.03,0.25,7.11,0.31
33,2011-02-24,2861.39,2878.60,2881.54,2854.56,119196731,138582360064.00,0.94,0.56,15.97,0.31
34,2011-02-25,2876.78,2878.56,2890.32,2848.65,109603082,125575315456.00,1.45,0.00,-0.04,0.28
35,2011-02-28,2880.17,2905.05,2906.17,2861.82,127274935,149576318976.00,1.54,0.92,26.49,0.33
36,2011-03-01,2906.28,2918.92,2931.58,2901.55,148645028,173892157440.00,1.03,0.48,13.87,0.38
37,2011-03-02,2905.51,2913.81,2924.96,2883.57,144173382,167054180352.00,1.42,-0.18,-5.11,0.37
38,2011-03-03,2918.73,2902.98,2937.56,2900.76,164828973,179827998720.00,1.26,-0.37,-10.83,0.42
39,2011-03-04,2902.19,2942.31,2944.46,2898.08,129271958,146052792320.00,1.60,1.35,39.33,0.33
40,2011-03-07,2952.72,2996.21,3000.43,2952.72,177510040,210234769408.00,1.62,1.83,53.90,0.46
41,2011-03-08,2996.73,2999.94,3001.62,2976.60,137269607,170430955520.00,0.84,0.12,3.73,0.35
42,2011-03-09,3002.55,3002.15,3012.04,2989.34,135053915,166821396480.00,0.76,0.07,2.21,0.35
43,2011-03-10,2995.77,2957.14,2995.77,2954.37,135238994,168228782080.00,1.38,-1.50,-45.01,0.35
44,2011-03-11,2942.42,2933.80,2966.98,2927.68,127845915,154274938880.00,1.33,-0.79,-23.34,0.33
45,2011-03-14,2923.98,2937.63,2939.65,2914.46,125582010,153795985408.00,0.86,0.13,3.83,0.32
46,2011-03-15,2927.98,2896.26,2927.98,2850.95,172272612,189815701504.00,2.62,-1.41,-41.37,0.44
47,2011-03-16,2894.25,2930.80,2934.02,2894.25,140044614,167171293184.00,1.37,1.19,34.54,0.36
48,2011-03-17,2906.96,2897.30,2935.63,2885.65,147421746,171981078528.00,1.71,-1.14,-33.50,0.38
49,2011-03-18,2920.81,2906.89,2930.61,2900.87,107808469,128490897408.00,1.03,0.33,9.59,0.28
50,2011-03-21,2913.91,2909.14,2927.07,2895.15,105097982,123623440384.00,1.10,0.08,2.25,0.27
51,2011-03-22,2917.69,2919.14,2923.39,2884.75,106469168,121852993536.00,1.33,0.34,10.00,0.27
52,2011-03-23,2919.02,2948.48,2950.42,2911.63,122810342,139787780096.00,1.33,1.01,29.34,0.32
