日期,实际值,预测值
2018-07-04,2759,2789
2018-07-05,2733,2714
2018-07-06,2747,2705
2018-07-09,2815,2716
2018-07-10,2827,2778
2018-07-11,2777,2817
2018-07-12,2837,2752
2018-07-13,2831,2804
2018-07-16,2814,2802
2018-07-17,2798,2765
2018-07-18,2787,2760
2018-07-19,2772,2767
2018-07-20,2829,2754
2018-07-23,2859,2818
2018-07-24,2905,2796
2018-07-25,2903,2904
2018-07-26,2882,2863
2018-07-27,2873,2838
2018-07-30,2869,2843
2018-07-31,2876,2838
2018-08-01,2824,2852
2018-08-02,2768,2812
2018-08-03,2740,2755
2018-08-06,2705,2717
2018-08-07,2779,2668
2018-08-08,2744,2763
2018-08-09,2794,2707
2018-08-10,2795,2779
2018-08-13,2785,2738
2018-08-14,2780,2738
2018-08-15,2723,2715
2018-08-16,2705,2687
2018-08-17,2668,2663
2018-08-20,2698,2648
2018-08-21,2733,2687
2018-08-22,2714,2714
2018-08-23,2724,2679
2018-08-24,2729,2702
2018-08-27,2780,2678
2018-08-28,2777,2738
2018-08-29,2769,2719
2018-08-30,2737,2734
2018-08-31,2725,2704
2018-09-03,2720,2712
2018-09-04,2750,2682
2018-09-05,2704,2720
2018-09-06,2691,2675
2018-09-07,2702,2670
2018-09-10,2669,2664
2018-09-11,2664,2619
2018-09-12,2656,2621
2018-09-13,2686,2611
2018-09-14,2681,2656
2018-09-17,2651,2655
2018-09-18,2699,2617
2018-09-19,2730,2661
2018-09-20,2729,2697
2018-09-21,2797,2686
2018-09-25,2781,2758
2018-09-26,2806,2721
2018-09-27,2791,2768
2018-09-28,2821,2730
2018-10-08,2716,2776
2018-10-09,2721,2651
2018-10-10,2725,2686
2018-10-11,2583,2676
2018-10-12,2606,2554
2018-10-15,2568,2531
2018-10-16,2546,2558
2018-10-17,2561,2515
2018-10-18,2486,2531
2018-10-19,2550,2438
2018-10-22,2654,2478
2018-10-23,2594,2621
2018-10-24,2603,2550
2018-10-25,2603,2517
2018-10-26,2598,2543
